timestamp,0.1SS,0.4SS,0.6SS,1.0SS
2022-06-02 00:00:00,111.23329229457008,327.75097228366997,470.0310009088383,702.5305585343325
2022-06-02 01:00:00,104.87222817042384,356.5774330668799,536.0636183417588,883.7106861398844
2022-06-02 02:00:00,108.5808709012015,345.0815753578884,472.10543236980556,747.9619074890894
2022-06-04 00:00:00,151.64536754680137,1407.1270851262034,1711.1122557948565,2225.5235492892175
2022-06-04 01:00:00,115.5755318287408,634.7259963398903,729.1266282150866,1103.0830950226846
2022-06-05 00:00:00,172.8459264603952,1438.741826502821,1917.0351891593932,2515.722940551558
2022-06-05 01:00:00,306.25270422837053,2273.4136884996597,3326.12964275182,4370.521633204155
2022-06-05 02:00:00,415.55275222453326,2102.2348284862583,2912.9757361346783,3927.516058145134
2022-06-05 03:00:00,401.1977212506904,1955.9910373969878,2553.183415780618,3255.650316224949
2022-06-05 04:00:00,162.72564905169688,754.8958694247358,992.2503763155013,1318.5284128761432
2022-06-05 05:00:00,127.0716004099159,988.4127876932814,1335.3552312573881,1745.246437537318
2022-06-05 06:00:00,298.0071902676046,1136.733361332365,1475.959325452068,2287.941716726614
2022-06-05 07:00:00,429.335314414826,4253.155173462457,5710.487622594839,7114.34311595302
2022-06-05 08:00:00,372.8067582962493,853.3201264646624,1102.5098620601043,1841.4302096803124
2022-06-05 09:00:00,414.9667929938641,1848.5168754437634,2437.7907146383213,2949.8386225655595
2022-06-05 10:00:00,353.4533600611531,1032.541191166547,1321.6283557475135,2074.8354658098865
2022-06-05 11:00:00,394.2749733420737,1231.6837248777767,1630.4401871645714,2308.6673755788856
2022-06-05 12:00:00,366.5885824842103,2002.190050261687,2505.8182400632036,3005.456305413943
2022-06-05 13:00:00,261.3258556434517,1106.866886754955,1205.5839854921894,1459.3280651401276
2022-06-05 14:00:00,306.6598212643672,1218.8380790490255,1491.843878073548,1820.2146404528182
2022-06-05 15:00:00,320.18759740601854,1056.3042501433367,1287.1054544796668,1528.0013827048767
2022-06-05 16:00:00,311.2438493638947,1106.6464466715327,1377.3438341181109,1604.9624236434408
2022-06-05 17:00:00,351.1858183756969,1302.8498304990785,1575.1510190660958,1827.2399564318976
2022-06-05 18:00:00,337.71029254027945,1077.5126236422761,1354.8878593247423,1629.9696636114322
2022-06-05 19:00:00,267.46778080554225,937.4390559961922,1264.7612266473357,1609.851816825026
2022-06-05 20:00:00,271.80710772481314,975.7629884825565,1224.8637604910211,1548.635405403195
2022-06-05 21:00:00,259.8955392179411,967.5153640282923,1266.6567989321084,1814.2251928869011
2022-06-05 22:00:00,216.01469029557308,906.6287197728972,1190.6062564534632,1841.7314452141538
2022-06-05 23:00:00,244.88071733593333,874.5379627450737,1156.742088637568,1572.5112372691437
2022-06-06 00:00:00,192.66642075548674,785.2183858470364,1047.4112297392203,1292.0072591956086
2022-06-06 01:00:00,217.85693728630008,836.6209029012953,1109.551655516024,1415.683298596773
2022-06-06 02:00:00,232.87813847756053,796.8383486599712,1003.090741525362,1250.1144942128394
2022-06-06 03:00:00,227.8457176708167,781.2065901764146,1000.3177943399296,1216.853105294334
2022-06-06 04:00:00,244.69717525392906,790.9792186884305,986.4159858479817,1182.6473655288662
2022-06-06 05:00:00,199.92908649535536,784.231979795397,1064.1554086108924,1323.6559304699701
2022-06-06 06:00:00,172.22394068508788,779.1280140286433,1029.4708569013894,1338.4709437763538
2022-06-06 07:00:00,200.61494089259696,768.8229934015815,1003.2956649332482,1226.0763229741572
2022-06-06 08:00:00,275.45704782257377,632.297316888951,668.3803525083683,837.2029674086118
2022-06-06 09:00:00,300.34144660146524,953.1040425840298,1193.8877938380722,1432.9645049092826
2022-06-06 10:00:00,303.6711568265109,846.1163461903275,1042.462594449546,1232.6396855627281
2022-06-06 11:00:00,273.6399635660886,833.9339374654287,1107.362967148658,1382.2309685189693
2022-06-06 12:00:00,172.1058697690275,675.5688856315329,852.0220210370833,1135.286701861335
2022-06-06 13:00:00,88.55566750808148,389.28288681956565,499.3626503279697,719.3961832909977
2022-06-06 14:00:00,193.0986380063906,599.7051990592521,759.8549418747091,1032.996831195429
2022-06-06 15:00:00,197.6677853439353,604.560232323381,760.8761665744272,973.1296767522443
2022-06-06 16:00:00,194.9167250707354,599.0358607432612,731.8851443744794,921.6521010018428
2022-06-06 17:00:00,168.42357528916014,599.0398404918018,747.0137554674193,911.070274912872
2022-06-06 18:00:00,149.13600727976294,562.286440174018,729.3079652308516,901.0581015714596
2022-06-06 19:00:00,109.12653742832838,526.18446504564,542.7454931374831,1251.6767157437123
2022-06-06 20:00:00,199.56589627610666,589.7518687059799,764.7852156653724,944.0691266339942
2022-06-06 21:00:00,148.61805291507991,543.5939249628507,698.4271080373883,835.1526817534026
2022-06-06 22:00:00,164.84189249235413,633.4476146026683,791.9378832669064,968.3858484265551
2022-06-06 23:00:00,163.90756504727005,624.0577999108516,769.2393774335409,924.1720486218059
2022-06-08 00:00:00,308.88788916190634,785.3221010429014,982.4934940882131,1194.0110707029435
2022-06-08 01:00:00,292.94166093886787,629.5937070565348,846.0688233793148,1201.1868835481641
2022-06-08 02:00:00,249.47711068445278,528.584131854155,732.2694323439307,991.2031491433829
2022-06-08 03:00:00,192.56405779863502,541.7292071348847,747.185794328981,1082.5704733459627
2022-06-08 04:00:00,207.3502510056399,410.6709579946551,434.1874190112302,697.6375704884363
2022-06-08 05:00:00,222.33485771874834,497.0280609640559,634.420895470037,782.9031416158582
2022-06-08 06:00:00,227.88273406968412,523.2738680286849,682.6179236125512,862.8378591344134
2022-06-08 07:00:00,215.00401954795075,378.564886596031,415.6581787442084,796.6251373667424
2022-06-08 08:00:00,238.49886097673885,531.7865755368462,768.4191916814234,1056.7364063669866
2022-06-08 09:00:00,234.19026671226698,638.0036082959883,836.2522552551238,1041.8057158204042
2022-06-08 10:00:00,287.81022124545285,731.024201237552,902.4341417930174,1060.2500343741738
2022-06-08 11:00:00,313.8243980492492,527.4996339518358,573.8575981198416,773.4412851300784
2022-06-08 12:00:00,361.40559109716907,825.1893523256199,1063.0118142810695,1546.9397626049201
